Ticker Symbol,Average volume,t-13 vol,t-13 change,t-12 vol,t-12 change,t-11 vol,t-11 change,t-10 vol,t-10 change,t-9 vol,t-9 change,t-8 vol,t-8 change,t-7 vol,t-7 change,t-6 vol,t-6 change,t-5 vol,t-5 change,t-4 vol,t-4 change,t-3 vol,t-3 change,t-2 volume,t-2 change,t-1 volume,t-1 change,Result change
edn,60150.0,1.5793848711554448,14.931232401992636,0.8162926018287614,2.649576279233888,0.6633416458852868,-1.850296557412275,0.3108894430590191,-0.8417540446667972,0.3458021612635079,-3.0176077212284538,0.3491271820448878,3.170293321368637,0.3491271820448878,-3.083703697853132,0.28428927680798005,-3.24617317762214,0.6483790523690773,3.0247472806732607,0.8428927680798005,2.568486551559486,1.7955112219451372,11.811023799431023,1.8104738154613467,-0.07143020629882812,3.3349958437240232,-5.448445950569455,6.159416058313452
sien,3926342.8571428573,0.011715736927129572,-5.074622170594121,0.005755992490285398,1.8867906138356099,0.010136659341299065,4.9689467207783045,0.7930789829867124,8.695651208134308,10.942294537992462,-18.954246227181745,0.47247529507647973,1.8348605792718238,0.15943589818224155,-9.677420772520119,0.13348299398931757,-5.6410262366801955,0.15199895213284625,-1.6666651213610204,0.9056264644671158,25.54347287363511,0.0802782669441574,-3.4934465082401207,0.08677286024071837,4.01785329402407,0.039527877632402376,-1.30718832029433,14.8648612366299
izm,106935.71428571429,1.4092578986039677,1.57480167140813,0.9706766415069134,1.550392324868303,1.1539643310400107,2.879584697296714,1.300781510921114,12.781954617650996,0.9688063589606573,-3.043475421480001,1.004341727339523,-7.922909625575625,0.7929997996125843,-9.41176694982192,1.0389419544452607,-9.350646857488233,0.529289960590475,9.742117857886267,2.1124841359962594,28.301891642548476,0.5133925589472981,-2.6315812335043547,0.5302251018636029,11.945092657546462,0.610647251352615,3.6956539090955554,8.196726864537593
lyra,229657.14285714287,1.648108982333914,-5.956114539571878,0.6731774073152526,-1.9999980926513672,0.3426847474496143,1.7421669940284035,0.23905200298581736,-2.3728790546210488,0.8382060213983578,-0.343642273824959,0.37708385170440406,-3.8062328554154714,0.4902960935556108,5.673762043203308,0.2947872605125653,0.6920408373887178,0.11059965165464045,3.2815208717143323,0.2625653147549141,1.3377913620550372,3.776499129136601,17.142855412835758,1.0245707887534212,5.027934932771287,1.2435929335655636,-1.374569095299836,16.08578824569565
lmdx,2134100.0,0.041235181106789746,-2.3255860695907784,0.06527341736563423,2.439022085483674,0.019024413101541633,-2.272725117600642,0.06096246661356075,-1.9999941719901344,0.03729909563750527,-8.69565668088043,0.050747387657560566,-4.761900369272073,0.100885619230589,0.0,0.03837683332552364,-2.5000050291418283,0.06630429689330397,-0.8042871879654865,0.022585633288037112,0.2739690682928773,1.8889930181341081,-4.109593179530491,10.030645236868,-3.063457102099042,0.9345860081533199,13.043478542555025,8.510636544000942
vcig,11569035.714285715,0.00727804823837028,-6.474822611858408,0.009698301809324768,4.687504947651288,0.004330525139457851,0.3098333443062513,0.032465972901803766,6.343277374655661,0.007986836784149808,-1.8518500530834543,0.008617831465148657,6.640628128661843,0.006828572575193018,-1.5530350819378698,0.004442894055252166,-8.270677500430452,0.005532008162182,3.004299311307958,0.827795871368462,-4.713808200523348,10.21538034099644,90.78947607830294,0.3683020871599991,-12.676053027315803,2.2533338684234083,70.74073384001107,-9.118088614304815
ipw,70564.28571428571,0.982083206802308,8.44155834102775,0.08219455410466647,-5.988018395350124,0.36704119850187267,0.36408021569937155,0.12187468367243649,-4.698792230340502,0.5626075513715963,1.2048181523292238,4.775787022978035,29.411763880904594,1.2711812936532039,-5.982900496613692,0.48891588217430915,-2.7027000903735274,0.3287782164186659,-0.934589643208842,1.8267031076019842,32.07547657852226,0.9041400951513312,-7.407409042651405,0.8786314404291933,3.7313396321503887,0.7170766271889868,-9.638559581199086,-5.7553988301194705
ocft,268178.5714285714,0.16742575575975496,-1.960782480441495,0.23118923957917167,0.0,0.08539086429617793,0.29239737544372346,0.1025436143294713,-1.7391287521814438,0.24274870155813025,3.293417255723563,0.09806898388600346,0.0,9.784152350512718,61.714281354631694,1.3017445731788522,4.761904761904762,0.4731921693967239,-7.129796735731345,0.5365827673458516,12.840473567960103,0.2722066853109602,0.3676467043408923,0.16444266879744307,-2.052241245790422,0.2304434678385937,-10.1796455486572,-12.39316121752833
laes,209935.7142857143,0.35725222006736757,-13.599998474121094,0.13670851621244598,-5.45454892245206,0.12480010887686707,-4.326921401644538,0.12575278146371338,-2.932543993007507,0.051920655983124085,-0.5015064131965565,0.11051002007417236,2.18978138483453,0.0914565683372461,2.9556670148752526,10.477493110135756,60.45248177554304,0.759756388009935,-3.927315927714391,0.4525194787519989,-3.6896380570585974,0.6859242625293457,-10.62699273342725,0.32295600694090026,-2.187502384185791,0.19625055289034057,8.324973936569469,-3.8346391642773385
zura,1006214.2857142857,0.34336622417832047,-2.9895408728201183,5.661219564137148,0.13209711780605024,0.5709519415063534,-6.911145802676313,0.2998367288989849,5.303028934695922,0.3775537729821822,7.6119439313502495,0.5673741747710656,-3.042873991857099,0.26505288563924184,2.282451386419297,0.43837580748207566,7.816710481703206,0.31355150138425497,6.143788030489902,1.1320650244906652,17.181697941053734,1.3498118832966566,35.449740201954924,0.6421097465748563,-3.44827558882159,0.38500745368069855,2.985071865055365,-7.616710092303333
grnq,433942.85714285716,0.052311035027653406,-4.145073879804791,0.02004872267579668,-4.232806535494818,0.04770213326310245,1.111116703645831,0.013365815117197788,-1.0752677834782465,0.009217803529101922,2.7322377674172094,0.029036081116671057,-3.2608728750215663,0.07604687911509087,-5.49450664614695,0.1970305504345536,-8.235300057486924,0.024657624440347643,2.5641078544558447,0.05691993679220437,1.219511042741837,1.5792401896233867,15.294116657085514,9.84115749275744,8.530809275183755,0.8070186989728733,4.918027981350978,8.370046643917123
ahi,24610342.85714286,8.939330966539039e-05,-7.738093284640832,0.00012189996772553235,2.229299060790282,0.0005282331934773069,0.0,0.05935715761781922,0.0,5.191016668949872,249.35897784913777,3.1468842368249352,-9.604515207917617,0.4126192007541544,-18.918919963850588,0.3461796550114818,-22.80701699349358,0.41844601921143487,11.409393019904112,0.07620373315748778,-13.953488694454535,0.07129929112266387,-5.1282004256688785,3.795176708515119,-11.30952047281244,0.28731822392907974,8.012812705876014,17.699119338732352
rcat,1484242.857142857,0.033417711772235965,-4.5454561874557635,0.1080685679086018,-4.222451896873285,0.07215800263722726,-1.5053761786898527,0.04109839552633859,1.5283841089854,0.11777048422957352,-1.8478281784710746,0.09782765623646497,-6.559138606498534,0.053023667670866345,0.0,0.0680481630845934,1.2373428128632054,0.056527137453439465,-2.111110478271656,0.1478868494759233,7.222222148636239,10.695486876425692,31.578949019519264,1.2639440984821506,1.754384313814067,0.6328479166867186,-1.086955465418649,7.272720179282098
mrkr,393978.5714285714,0.3657559330637997,-2.8248560935074982,0.27514186775930527,2.994016335956057,0.6325217107529416,14.705881940452297,0.619576844280871,5.050500185316258,1.4201279982595139,10.572687733626578,3.052196457385282,14.942533355537016,1.2866181989593344,-19.354836228734793,0.4444404155410918,1.2499987582366165,0.41423572710626033,3.3333300219643105,1.816342440669362,21.705434021629927,0.9513207752415831,10.862616668946751,1.5247022136809472,18.309855371258365,0.6708486683467194,-5.286359621345079,2.90556615578512
